Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
01/21/2025,ProShares Ultra Silver,AGQ,38.8293538,37.95430675,2.30553,0.87504705,16696.53,648315315.2848988
01/17/2025,ProShares Ultra Silver,AGQ,37.95430675,39.40242902,-3.67521,-1.44812227,16496.53,626114208.1133505
01/16/2025,ProShares Ultra Silver,AGQ,39.40242902,38.92104696,1.23682,0.48138206,16346.53,644092830.43858452
01/15/2025,ProShares Ultra Silver,AGQ,38.92104696,36.11140019,7.78050,2.80964677,16196.53,630385749.03486096
01/14/2025,ProShares Ultra Silver,AGQ,36.11140019,36.00867631,0.28528,0.10272388,16196.53,584879232.07373994
01/13/2025,ProShares Ultra Silver,AGQ,36.00867631,38.47011024,-6.39830,-2.46143393,16196.53,583215462.08049906
01/10/2025,ProShares Ultra Silver,AGQ,38.47011024,36.96203189,4.08007,1.50807835,16346.53,628852657.26102624
01/08/2025,ProShares Ultra Silver,AGQ,36.96203189,36.9499363,0.03274,0.01209559,16346.53,604200815.30271414
01/07/2025,ProShares Ultra Silver,AGQ,36.9499363,36.69848977,0.68517,0.25144653,16346.53,604003094.4262938
01/06/2025,ProShares Ultra Silver,AGQ,36.69848977,35.46652301,3.47360,1.23196676,16646.53,610902364.11703902
01/03/2025,ProShares Ultra Silver,AGQ,35.46652301,35.07696926,1.11057,0.38955375,16746.53,593941049.71656326
01/02/2025,ProShares Ultra Silver,AGQ,35.07696926,33.5622731,4.51309,1.51469616,16746.53,587417377.71379076
12/31/2024,ProShares Ultra Silver,AGQ,33.5622731,33.95196195,-1.14777,-0.38968885,16746.53,562051479.0882506
12/30/2024,ProShares Ultra Silver,AGQ,33.95196195,35.25257056,-3.68940,-1.30060861,16746.53,568577413.5466857
12/27/2024,ProShares Ultra Silver,AGQ,35.25257056,36.25417829,-2.76274,-1.00160773,16746.53,590358089.44987456
12/26/2024,ProShares Ultra Silver,AGQ,36.25417829,35.99794128,0.71181,0.25623701,16696.53,605318830.42762054
12/24/2024,ProShares Ultra Silver,AGQ,35.99794128,35.77158363,0.63279,0.22635765,16696.53,601040562.52799328
12/23/2024,ProShares Ultra Silver,AGQ,35.77158363,35.21982679,1.56661,0.55175684,16696.53,597261176.13946938
12/20/2024,ProShares Ultra Silver,AGQ,35.21982679,33.95355176,3.72943,1.26627503,16796.53,591570736.39373154
