Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
12/09/2025,ProShares Ultra Gold,UGL,53.35286498,52.88453413,0.88557,0.46833085,17200,917669277.656
12/08/2025,ProShares Ultra Gold,UGL,52.88453413,53.51321581,-1.17482,-0.62868168,17000,899037080.21
12/05/2025,ProShares Ultra Gold,UGL,53.51321581,53.50938387,0.00716,0.00383194,17100,915075990.351
12/04/2025,ProShares Ultra Gold,UGL,53.50938387,53.24246433,0.50133,0.26691954,16750,896282179.8225
12/03/2025,ProShares Ultra Gold,UGL,53.24246433,52.94514556,0.56156,0.29731877,16750,891811277.5275
12/02/2025,ProShares Ultra Gold,UGL,52.94514556,54.31302048,-2.51850,-1.36787492,16850,892125702.686
12/01/2025,ProShares Ultra Gold,UGL,54.31302048,53.80677435,0.94086,0.50624613,17050,926036999.184
11/28/2025,ProShares Ultra Gold,UGL,53.80677435,52.47865645,2.53078,1.3281179,17050,917405502.6675
11/26/2025,ProShares Ultra Gold,UGL,52.47865645,51.85436254,1.20394,0.62429391,17000,892137159.65
11/25/2025,ProShares Ultra Gold,UGL,51.85436254,50.70830716,2.26009,1.14605538,17000,881524163.18
11/24/2025,ProShares Ultra Gold,UGL,50.70830716,50.33664982,0.73834,0.37165734,17350,879789129.226
11/21/2025,ProShares Ultra Gold,UGL,50.33664982,49.83937552,0.99775,0.4972743,17600,885925036.832
11/20/2025,ProShares Ultra Gold,UGL,49.83937552,50.38751351,-1.08784,-0.54813799,17600,877173009.152
11/19/2025,ProShares Ultra Gold,UGL,50.38751351,49.98202365,0.81127,0.40548986,17850,899417116.1535
11/18/2025,ProShares Ultra Gold,UGL,49.98202365,50.17589428,-0.38638,-0.19387063,17850,892179122.1525
11/17/2025,ProShares Ultra Gold,UGL,50.17589428,50.64886779,-0.93383,-0.47297351,17850,895639712.898
11/14/2025,ProShares Ultra Gold,UGL,50.64886779,53.19310194,-4.78302,-2.54423415,18400,931939167.336
11/13/2025,ProShares Ultra Gold,UGL,53.19310194,53.65025989,-0.85211,-0.45715795,18400,978753075.696
11/12/2025,ProShares Ultra Gold,UGL,53.65025989,51.22523408,4.73405,2.42502581,18400,987164781.976
11/11/2025,ProShares Ultra Gold,UGL,51.22523408,51.36133204,-0.26498,-0.13609796,18400,942544307.072
11/10/2025,ProShares Ultra Gold,UGL,51.36133204,48.63076722,5.61489,2.73056482,18400,945048509.536
11/07/2025,ProShares Ultra Gold,UGL,48.63076722,48.17339357,0.94943,0.45737365,18050,877785348.321
11/06/2025,ProShares Ultra Gold,UGL,48.17339357,48.21610072,-0.08857,-0.04270715,17900,862303744.903
11/05/2025,ProShares Ultra Gold,UGL,48.21610072,47.43633688,1.64381,0.77976384,18150,875122228.068
11/04/2025,ProShares Ultra Gold,UGL,47.43633688,48.73378608,-2.66232,-1.2974492,18150,860969514.372
11/03/2025,ProShares Ultra Gold,UGL,48.73378608,48.30099284,0.89603,0.43279324,18150,884518217.352
10/31/2025,ProShares Ultra Gold,UGL,48.30099284,48.76862969,-0.95889,-0.46763685,18600,898398466.824
10/30/2025,ProShares Ultra Gold,UGL,48.76862969,48.39739713,0.76705,0.37123256,18200,887589060.358
10/29/2025,ProShares Ultra Gold,UGL,48.39739713,47.97001549,0.89093,0.42738164,18200,880832627.766
10/28/2025,ProShares Ultra Gold,UGL,47.97001549,48.85509588,-1.81164,-0.88508039,18200,873054281.918
10/27/2025,ProShares Ultra Gold,UGL,48.85509588,51.80163175,-5.68811,-2.94653587,18200,889162745.016
10/24/2025,ProShares Ultra Gold,UGL,51.80163175,51.99373955,-0.36948,-0.1921078,18650,966100432.1375
10/23/2025,ProShares Ultra Gold,UGL,51.99373955,50.01612981,3.95394,1.97760974,18750,974882616.5625
10/22/2025,ProShares Ultra Gold,UGL,50.01612981,51.09894811,-2.11906,-1.0828183,19050,952807272.8805
10/21/2025,ProShares Ultra Gold,UGL,51.09894811,57.72659134,-11.48109,-6.62764323,19050,973434961.4955
10/20/2025,ProShares Ultra Gold,UGL,57.72659134,53.97064839,6.95923,3.75594295,19200,1108350553.728
10/17/2025,ProShares Ultra Gold,UGL,53.97064839,56.35726139,-4.23479,-2.386613,19400,1047030578.766
10/16/2025,ProShares Ultra Gold,UGL,56.35726139,53.71892218,4.91138,2.63833921,19800,1115873775.522
10/15/2025,ProShares Ultra Gold,UGL,53.71892218,52.74695171,1.84270,0.97197047,19400,1042147090.292
10/14/2025,ProShares Ultra Gold,UGL,52.74695171,51.97858094,1.47824,0.76837077,19150,1010104125.2465
10/13/2025,ProShares Ultra Gold,UGL,51.97858094,48.73740182,6.65029,3.24117912,18300,951208031.202
10/10/2025,ProShares Ultra Gold,UGL,48.73740182,48.06071679,1.40798,0.67668503,18250,889457583.215
10/09/2025,ProShares Ultra Gold,UGL,48.06071679,50.48318893,-4.79857,-2.42247214,18100,869898973.899
10/08/2025,ProShares Ultra Gold,UGL,50.48318893,48.86661998,3.30813,1.61656895,18100,913745719.633
10/07/2025,ProShares Ultra Gold,UGL,48.86661998,48.18210165,1.42069,0.68451833,17600,860052511.648
10/06/2025,ProShares Ultra Gold,UGL,48.18210165,46.56764192,3.46691,1.61445973,17350,835959463.6275
10/03/2025,ProShares Ultra Gold,UGL,46.56764192,45.6027289,2.11591,0.96491302,17350,807948587.312
10/02/2025,ProShares Ultra Gold,UGL,45.6027289,46.29798087,-1.50169,-0.69525197,17250,786647073.525
10/01/2025,ProShares Ultra Gold,UGL,46.29798087,45.72093297,1.26211,0.5770479,17700,819474261.399
09/30/2025,ProShares Ultra Gold,UGL,45.72093297,45.29447391,0.94153,0.42645906,17700,809260513.569
09/29/2025,ProShares Ultra Gold,UGL,45.29447391,44.2127363,2.44667,1.08173761,17500,792653293.425
09/26/2025,ProShares Ultra Gold,UGL,44.2127363,43.33844343,2.01736,0.87429287,17500,773722885.25
09/25/2025,ProShares Ultra Gold,UGL,43.33844343,43.26559129,0.16838,0.07285214,17800,771424293.054
09/24/2025,ProShares Ultra Gold,UGL,43.26559129,44.36990735,-2.48889,-1.10431606,17850,772290804.5265
09/23/2025,ProShares Ultra Gold,UGL,44.36990735,43.43228643,2.15881,0.93762092,17850,792002846.1975
09/22/2025,ProShares Ultra Gold,UGL,43.43228643,41.85806871,3.76085,1.57421772,17850,775266312.7755
09/19/2025,ProShares Ultra Gold,UGL,41.85806871,41.2382059,1.50313,0.61986281,17950,751352333.3445
09/18/2025,ProShares Ultra Gold,UGL,41.2382059,42.13031758,-2.11751,-0.89211168,17950,740225795.905
09/17/2025,ProShares Ultra Gold,UGL,42.13031758,42.29300263,-0.38466,-0.16268505,18500,779410875.23
09/16/2025,ProShares Ultra Gold,UGL,42.29300263,42.15118692,0.33645,0.14181571,18650,788764499.0495
09/15/2025,ProShares Ultra Gold,UGL,42.15118692,41.40946577,1.79119,0.74172115,18150,765044042.598
09/12/2025,ProShares Ultra Gold,UGL,41.40946577,41.11973771,0.70460,0.28972806,18150,751581803.7255
09/11/2025,ProShares Ultra Gold,UGL,41.11973771,41.30502858,-0.44859,-0.18529087,18000,740155278.78
09/10/2025,ProShares Ultra Gold,UGL,41.30502858,41.30439384,0.00154,0.00063474,18000,743490514.44
09/09/2025,ProShares Ultra Gold,UGL,41.30439384,41.19345349,0.26932,0.11094035,18000,743479089.12
09/08/2025,ProShares Ultra Gold,UGL,41.19345349,40.64910898,1.33913,0.54434451,18000,741482162.82
09/05/2025,ProShares Ultra Gold,UGL,40.64910898,39.62225383,2.59161,1.02685515,18000,731683961.64
09/04/2025,ProShares Ultra Gold,UGL,39.62225383,40.25688254,-1.57645,-0.63462871,18000,713200568.94
09/03/2025,ProShares Ultra Gold,UGL,40.25688254,39.30642318,2.41808,0.95045936,18000,724623885.72
09/02/2025,ProShares Ultra Gold,UGL,39.30642318,37.6725136,4.33714,1.63390958,17500,687862405.65
08/29/2025,ProShares Ultra Gold,UGL,37.6725136,36.77908411,2.42918,0.89342949,16350,615945597.36
08/28/2025,ProShares Ultra Gold,UGL,36.77908411,36.23613246,1.49837,0.54295165,15250,560881032.6775
08/27/2025,ProShares Ultra Gold,UGL,36.23613246,35.907038,0.91652,0.32909446,15250,552601020.015
08/26/2025,ProShares Ultra Gold,UGL,35.907038,35.5809136,0.91657,0.3261244,15250,547582329.5
08/25/2025,ProShares Ultra Gold,UGL,35.5809136,35.59425802,-0.03749,-0.01334442,15250,542608932.4
08/22/2025,ProShares Ultra Gold,UGL,35.59425802,34.83142462,2.19007,0.7628334,15400,548151573.508
08/21/2025,ProShares Ultra Gold,UGL,34.83142462,34.97124104,-0.39980,-0.13981642,15100,525954511.762
08/20/2025,ProShares Ultra Gold,UGL,34.97124104,34.35871382,1.78274,0.61252722,15150,529814301.756
08/19/2025,ProShares Ultra Gold,UGL,34.35871382,34.75269632,-1.13367,-0.3939825,15150,520534514.373
08/18/2025,ProShares Ultra Gold,UGL,34.75269632,34.83981103,-0.25004,-0.08711471,15050,523028079.616
08/15/2025,ProShares Ultra Gold,UGL,34.83981103,34.84866854,-0.02542,-0.00885751,15050,524339156.0015
08/14/2025,ProShares Ultra Gold,UGL,34.84866854,35.36727195,-1.46634,-0.51860341,14950,520987594.673
08/13/2025,ProShares Ultra Gold,UGL,35.36727195,35.17220912,0.55459,0.19506283,14950,528740715.6525
08/12/2025,ProShares Ultra Gold,UGL,35.17220912,35.28690056,-0.32503,-0.11469144,14800,520548694.976
08/11/2025,ProShares Ultra Gold,UGL,35.28690056,37.11964751,-4.93740,-1.83274695,14800,522246128.288
08/08/2025,ProShares Ultra Gold,UGL,37.11964751,36.32582685,2.18528,0.79382066,14850,551226765.5235
08/07/2025,ProShares Ultra Gold,UGL,36.32582685,35.89845199,1.19051,0.42737486,14850,539438528.7225
08/06/2025,ProShares Ultra Gold,UGL,35.89845199,35.92288884,-0.06803,-0.02443685,14850,533092012.0515
08/05/2025,ProShares Ultra Gold,UGL,35.92288884,35.74849317,0.48784,0.17439567,14850,533454899.274
08/04/2025,ProShares Ultra Gold,UGL,35.74849317,35.19018579,1.58654,0.55830738,14850,530865123.5745
08/01/2025,ProShares Ultra Gold,UGL,35.19018579,34.14329144,3.06618,1.04689435,14850,522574258.9815
07/31/2025,ProShares Ultra Gold,UGL,34.14329144,34.22633885,-0.24264,-0.08304741,14750,503613548.74
07/30/2025,ProShares Ultra Gold,UGL,34.22633885,34.8084344,-1.67228,-0.58209555,15000,513395082.75
07/29/2025,ProShares Ultra Gold,UGL,34.8084344,34.51008519,0.86453,0.29834921,15000,522126516
07/28/2025,ProShares Ultra Gold,UGL,34.51008519,35.03335102,-1.49362,-0.52326583,15000,517651277.85
07/25/2025,ProShares Ultra Gold,UGL,35.03335102,35.83683337,-2.24206,-0.80348235,15300,536010270.606
07/24/2025,ProShares Ultra Gold,UGL,35.83683337,36.33861765,-1.38086,-0.50178428,14950,535760658.8815
07/23/2025,ProShares Ultra Gold,UGL,36.33861765,37.33170449,-2.66017,-0.99308684,14950,543262333.8675
07/22/2025,ProShares Ultra Gold,UGL,37.33170449,36.50846091,2.25494,0.82324358,15550,580508004.8195
07/21/2025,ProShares Ultra Gold,UGL,36.50846091,35.4865902,2.87960,1.02187071,15000,547626913.65
07/18/2025,ProShares Ultra Gold,UGL,35.4865902,35.21884414,0.76024,0.26774606,14450,512781228.39
07/17/2025,ProShares Ultra Gold,UGL,35.21884414,35.50544276,-0.80720,-0.28659862,14350,505390413.409
07/16/2025,ProShares Ultra Gold,UGL,35.50544276,35.0420966,1.32226,0.46334616,14350,509503103.606
07/15/2025,ProShares Ultra Gold,UGL,35.0420966,35.50396716,-1.30090,-0.46187056,14250,499349876.55
07/14/2025,ProShares Ultra Gold,UGL,35.50396716,35.58808247,-0.23636,-0.08411531,14250,505931532.03
07/11/2025,ProShares Ultra Gold,UGL,35.58808247,34.79010331,2.29370,0.79797916,14250,507130175.1975
07/10/2025,ProShares Ultra Gold,UGL,34.79010331,34.6907956,0.28627,0.09930771,13800,480103425.678
07/09/2025,ProShares Ultra Gold,UGL,34.6907956,34.60537198,0.24685,0.08542362,13800,478732979.28
07/08/2025,ProShares Ultra Gold,UGL,34.60537198,35.14647649,-1.53957,-0.54110451,13800,477554133.324
07/07/2025,ProShares Ultra Gold,UGL,35.14647649,35.13781932,0.02464,0.00865717,13800,485021375.562
07/03/2025,ProShares Ultra Gold,UGL,35.13781932,35.48771412,-0.98596,-0.3498948,13800,484901906.616
07/02/2025,ProShares Ultra Gold,UGL,35.48771412,35.27638518,0.59907,0.21132894,13550,480858526.326
07/01/2025,ProShares Ultra Gold,UGL,35.27638518,34.39749603,2.55510,0.87888915,14100,497397031.038
06/30/2025,ProShares Ultra Gold,UGL,34.39749603,33.97402159,1.24647,0.42347444,14100,485004694.023
