Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
11/11/2025,ProShares UltraShort Silver,ZSL,121.2032935,123.3340245,-1.72761,-2.130731,371.03,44969621.6554484
11/10/2025,ProShares UltraShort Silver,ZSL,123.3340245,135.5028608,-8.98050,-12.1688363,351.03,43293498.6177468
11/07/2025,ProShares UltraShort Silver,ZSL,135.5028608,136.5958836,-0.80019,-1.0930228,351.03,47565081.41632512
11/06/2025,ProShares UltraShort Silver,ZSL,136.5958836,136.1818752,0.30401,0.4140084,351.03,47948761.27492704
11/05/2025,ProShares UltraShort Silver,ZSL,136.1818752,140.5130576,-3.08241,-4.3311824,351.03,47803433.39670528
11/04/2025,ProShares UltraShort Silver,ZSL,140.5130576,136.2058554,3.16227,4.3072022,351.03,49323792.76232064
11/03/2025,ProShares UltraShort Silver,ZSL,136.2058554,135.5697129,0.46924,0.6361425,346.03,47130821.80298256
10/31/2025,ProShares UltraShort Silver,ZSL,135.5697129,133.0665672,1.88112,2.5031457,346.03,46910699.70382056
10/30/2025,ProShares UltraShort Silver,ZSL,133.0665672,137.0884117,-2.93376,-4.0218445,311.03,41387215.35657408
10/29/2025,ProShares UltraShort Silver,ZSL,137.0884117,140.5830623,-2.48583,-3.4946506,306.03,41952673.11426888
10/28/2025,ProShares UltraShort Silver,ZSL,140.5830623,143.9638078,-2.34833,-3.3807455,321.03,45130874.39114472
10/27/2025,ProShares UltraShort Silver,ZSL,143.9638078,133.9634938,7.46495,10.000314,321.03,46216182.94832592
10/24/2025,ProShares UltraShort Silver,ZSL,133.9634938,133.3088993,0.49104,0.6545945,341.03,45685088.02203632
10/23/2025,ProShares UltraShort Silver,ZSL,133.3088993,139.278648,-4.28619,-5.9697487,341.03,45461854.01624152
10/22/2025,ProShares UltraShort Silver,ZSL,139.278648,139.1388124,0.10050,0.1398356,401.03,55854414.8043072
10/21/2025,ProShares UltraShort Silver,ZSL,139.1388124,121.6809669,14.34723,17.4578455,411.03,57189725.16104736
10/20/2025,ProShares UltraShort Silver,ZSL,121.6809669,128.2247126,-5.10334,-6.5437457,431.03,52447709.11142616
10/17/2025,ProShares UltraShort Silver,ZSL,128.2247126,114.4952296,11.99131,13.729483,431.03,55268236.26301264
10/16/2025,ProShares UltraShort Silver,ZSL,114.4952296,123.7322861,-7.46536,-9.2370565,431.03,49350466.63166144
10/15/2025,ProShares UltraShort Silver,ZSL,123.7322861,127.5344016,-2.98125,-3.8021155,396.03,49001251.82795304
10/14/2025,ProShares UltraShort Silver,ZSL,127.5344016,128.5109065,-0.75986,-0.9765049,386.03,49231645.92580224
10/13/2025,ProShares UltraShort Silver,ZSL,128.5109065,148.515472,-13.46968,-20.0045655,356.03,45753275.4019316
10/10/2025,ProShares UltraShort Silver,ZSL,148.515472,149.081139,-0.37944,-0.565667,316.03,46934809.9604608
10/09/2025,ProShares UltraShort Silver,ZSL,149.081139,138.6927698,7.49020,10.3883692,301.03,44877358.5810696
10/08/2025,ProShares UltraShort Silver,ZSL,138.6927698,147.8993044,-6.22487,-9.2065346,281.03,38976329.80292272
10/07/2025,ProShares UltraShort Silver,ZSL,147.8993044,142.4055577,3.85782,5.4937467,231.03,34168643.85803616
10/06/2025,ProShares UltraShort Silver,ZSL,142.4055577,145.3234402,-2.00785,-2.9178825,231.03,32899443.33542328
10/03/2025,ProShares UltraShort Silver,ZSL,145.3234402,156.0706972,-6.88615,-10.747257,246.03,35753402.82802128
10/02/2025,ProShares UltraShort Silver,ZSL,156.0706972,147.9346105,5.49979,8.1360867,206.03,32154683.88960608
10/01/2025,ProShares UltraShort Silver,ZSL,147.9346105,154.8372734,-4.45801,-6.9026629,206.03,30478435.2367172
09/30/2025,ProShares UltraShort Silver,ZSL,154.8372734,152.3970634,1.60122,2.44021,196.03,30352193.29041776
09/29/2025,ProShares UltraShort Silver,ZSL,152.3970634,154.7722982,-1.53466,-2.3752348,206.03,31397818.34287376
09/26/2025,ProShares UltraShort Silver,ZSL,154.7722982,166.1416819,-6.84319,-11.3693837,206.03,31887179.41787248
09/25/2025,ProShares UltraShort Silver,ZSL,166.1416819,173.3776865,-4.17355,-7.2360046,176.03,29245322.15480216
09/24/2025,ProShares UltraShort Silver,ZSL,173.3776865,170.1905387,1.87269,3.1871478,166.03,28785273.1299236
09/23/2025,ProShares UltraShort Silver,ZSL,170.1905387,173.2790155,-1.78237,-3.0884768,141.03,24001358.98692168
09/22/2025,ProShares UltraShort Silver,ZSL,173.2790155,184.0572855,-5.85593,-10.77827,136.03,23570520.6740092
09/19/2025,ProShares UltraShort Silver,ZSL,184.0572855,191.6504992,-3.96201,-7.5932137,136.03,25036649.9403372
09/18/2025,ProShares UltraShort Silver,ZSL,191.6504992,191.3354723,0.16465,0.3150269,126.03,24153022.47237888
09/17/2025,ProShares UltraShort Silver,ZSL,191.3354723,184.7492885,3.56493,6.5861838,136.03,26026675.48926872
